2025-07-29 23:29:55,144 - INFO - ------------------------------------Gradient Period 25-------------------------------------------
2025-07-29 23:29:55,144 - INFO - [Gradient Period 25 Run 1] Starting
2025-07-29 23:29:58,270 - INFO - Training on device: cuda
2025-07-29 23:30:23,057 - INFO - Epoch 142: Loss = 67.5718, Accuracy = 72.10%
2025-07-29 23:30:23,229 - INFO - Epoch 143: Loss = 66.8884, Accuracy = 72.31%
2025-07-29 23:30:23,402 - INFO - Epoch 144: Loss = 66.6856, Accuracy = 72.76%
2025-07-29 23:30:23,574 - INFO - Epoch 145: Loss = 65.2176, Accuracy = 73.26%
2025-07-29 23:30:23,748 - INFO - Epoch 146: Loss = 66.1875, Accuracy = 73.43%
2025-07-29 23:30:23,920 - INFO - Epoch 147: Loss = 64.7201, Accuracy = 73.14%
2025-07-29 23:30:24,093 - INFO - Epoch 148: Loss = 64.9360, Accuracy = 73.10%
2025-07-29 23:30:24,266 - INFO - Epoch 149: Loss = 63.3862, Accuracy = 73.92%
2025-07-29 23:30:24,438 - INFO - Epoch 150: Loss = 62.6256, Accuracy = 74.21%
2025-07-29 23:30:24,610 - INFO - Epoch 151: Loss = 61.7593, Accuracy = 74.88%
2025-07-29 23:30:24,783 - INFO - Epoch 152: Loss = 61.8761, Accuracy = 75.00%
2025-07-29 23:30:24,956 - INFO - Epoch 153: Loss = 61.5635, Accuracy = 74.59%
2025-07-29 23:30:25,128 - INFO - Epoch 154: Loss = 62.1786, Accuracy = 74.63%
2025-07-29 23:30:25,301 - INFO - Epoch 155: Loss = 60.8157, Accuracy = 74.79%
2025-07-29 23:30:25,473 - INFO - Epoch 156: Loss = 60.9252, Accuracy = 74.46%
2025-07-29 23:30:25,647 - INFO - Epoch 157: Loss = 59.5097, Accuracy = 75.29%
2025-07-29 23:30:25,820 - INFO - Epoch 158: Loss = 60.0185, Accuracy = 75.00%
2025-07-29 23:30:25,992 - INFO - Epoch 159: Loss = 61.2974, Accuracy = 74.34%
2025-07-29 23:30:26,165 - INFO - Epoch 160: Loss = 59.0614, Accuracy = 75.58%
2025-07-29 23:30:26,337 - INFO - Epoch 161: Loss = 59.0258, Accuracy = 75.17%
2025-07-29 23:30:26,510 - INFO - Epoch 162: Loss = 57.6874, Accuracy = 76.61%
2025-07-29 23:30:26,683 - INFO - Epoch 163: Loss = 57.6493, Accuracy = 76.90%
2025-07-29 23:30:26,856 - INFO - Epoch 164: Loss = 57.4126, Accuracy = 75.91%
2025-07-29 23:30:27,028 - INFO - Epoch 165: Loss = 57.5231, Accuracy = 76.24%
2025-07-29 23:30:27,200 - INFO - Epoch 166: Loss = 57.9742, Accuracy = 76.61%
2025-07-29 23:30:27,373 - INFO - Epoch 167: Loss = 57.1508, Accuracy = 76.32%
2025-07-29 23:30:27,545 - INFO - Epoch 168: Loss = 55.8823, Accuracy = 76.90%
2025-07-29 23:30:27,718 - INFO - Epoch 169: Loss = 55.4393, Accuracy = 77.11%
2025-07-29 23:30:27,891 - INFO - Epoch 170: Loss = 55.4587, Accuracy = 77.69%
2025-07-29 23:30:28,063 - INFO - Epoch 171: Loss = 55.5807, Accuracy = 77.19%
2025-07-29 23:30:28,236 - INFO - Epoch 172: Loss = 54.3182, Accuracy = 77.15%
2025-07-29 23:30:28,408 - INFO - Epoch 173: Loss = 54.2473, Accuracy = 77.48%
2025-07-29 23:30:28,581 - INFO - Epoch 174: Loss = 52.3483, Accuracy = 78.89%
2025-07-29 23:30:28,754 - INFO - Epoch 175: Loss = 53.4563, Accuracy = 78.10%
2025-07-29 23:30:28,926 - INFO - Epoch 176: Loss = 52.4174, Accuracy = 78.27%
2025-07-29 23:30:29,099 - INFO - Epoch 177: Loss = 53.5503, Accuracy = 78.35%
2025-07-29 23:30:29,271 - INFO - Epoch 178: Loss = 51.1353, Accuracy = 79.51%
2025-07-29 23:30:29,443 - INFO - Epoch 179: Loss = 51.3218, Accuracy = 78.60%
2025-07-29 23:30:29,615 - INFO - Epoch 180: Loss = 51.2421, Accuracy = 78.85%
2025-07-29 23:30:29,789 - INFO - Epoch 181: Loss = 51.1806, Accuracy = 78.56%
2025-07-29 23:30:29,962 - INFO - Epoch 182: Loss = 50.2681, Accuracy = 79.26%
2025-07-29 23:30:30,134 - INFO - Epoch 183: Loss = 50.7228, Accuracy = 79.35%
2025-07-29 23:30:30,306 - INFO - Epoch 184: Loss = 50.4663, Accuracy = 79.01%
2025-07-29 23:30:30,479 - INFO - Epoch 185: Loss = 52.0524, Accuracy = 79.14%
2025-07-29 23:30:30,651 - INFO - Epoch 186: Loss = 49.7890, Accuracy = 79.76%
2025-07-29 23:30:30,824 - INFO - Epoch 187: Loss = 48.7031, Accuracy = 80.09%
2025-07-29 23:30:30,997 - INFO - Epoch 188: Loss = 48.7076, Accuracy = 80.26%
2025-07-29 23:30:31,169 - INFO - Epoch 189: Loss = 48.0206, Accuracy = 80.84%
2025-07-29 23:30:31,341 - INFO - Epoch 190: Loss = 48.9923, Accuracy = 80.01%
2025-07-29 23:30:31,514 - INFO - Epoch 191: Loss = 47.0896, Accuracy = 81.13%
2025-07-29 23:30:31,687 - INFO - Epoch 192: Loss = 47.6647, Accuracy = 80.84%
2025-07-29 23:30:31,860 - INFO - Epoch 193: Loss = 48.0512, Accuracy = 80.55%
2025-07-29 23:30:32,032 - INFO - Epoch 194: Loss = 46.9707, Accuracy = 81.08%
2025-07-29 23:30:32,205 - INFO - Epoch 195: Loss = 46.4057, Accuracy = 81.33%
2025-07-29 23:30:32,377 - INFO - Epoch 196: Loss = 45.9702, Accuracy = 81.87%
2025-07-29 23:30:32,550 - INFO - Epoch 197: Loss = 45.8711, Accuracy = 81.75%
2025-07-29 23:30:32,723 - INFO - Epoch 198: Loss = 46.8557, Accuracy = 81.21%
2025-07-29 23:30:32,895 - INFO - Epoch 199: Loss = 45.7993, Accuracy = 81.79%
2025-07-29 23:30:33,068 - INFO - Epoch 200: Loss = 43.5772, Accuracy = 82.57%
2025-07-29 23:30:33,240 - INFO - Epoch 201: Loss = 43.8005, Accuracy = 82.91%
2025-07-29 23:30:33,413 - INFO - Epoch 202: Loss = 43.6689, Accuracy = 82.57%
2025-07-29 23:30:33,585 - INFO - Epoch 203: Loss = 43.3818, Accuracy = 83.07%
2025-07-29 23:30:33,759 - INFO - Epoch 204: Loss = 43.7166, Accuracy = 82.41%
2025-07-29 23:30:33,932 - INFO - Epoch 205: Loss = 42.9058, Accuracy = 83.24%
2025-07-29 23:30:34,104 - INFO - Epoch 206: Loss = 42.8673, Accuracy = 82.37%
2025-07-29 23:30:34,277 - INFO - Epoch 207: Loss = 43.0594, Accuracy = 83.53%
2025-07-29 23:30:34,449 - INFO - Epoch 208: Loss = 43.4134, Accuracy = 83.49%
2025-07-29 23:30:34,621 - INFO - Epoch 209: Loss = 41.8135, Accuracy = 83.65%
2025-07-29 23:30:34,794 - INFO - Epoch 210: Loss = 41.0808, Accuracy = 83.90%
2025-07-29 23:30:34,967 - INFO - Epoch 211: Loss = 41.7585, Accuracy = 83.90%
2025-07-29 23:30:35,139 - INFO - Epoch 212: Loss = 42.9502, Accuracy = 82.86%
2025-07-29 23:30:35,312 - INFO - Epoch 213: Loss = 40.9670, Accuracy = 84.02%
2025-07-29 23:30:35,484 - INFO - Epoch 214: Loss = 39.6542, Accuracy = 84.77%
2025-07-29 23:30:35,656 - INFO - Epoch 215: Loss = 39.5606, Accuracy = 84.77%
2025-07-29 23:30:35,830 - INFO - Epoch 216: Loss = 40.3016, Accuracy = 84.35%
2025-07-29 23:30:36,003 - INFO - Epoch 217: Loss = 39.5329, Accuracy = 84.89%
2025-07-29 23:30:36,175 - INFO - Epoch 218: Loss = 39.3051, Accuracy = 84.89%
2025-07-29 23:30:36,348 - INFO - Epoch 219: Loss = 39.3387, Accuracy = 84.73%
2025-07-29 23:30:36,521 - INFO - Epoch 220: Loss = 37.8634, Accuracy = 85.06%
2025-07-29 23:30:36,693 - INFO - Epoch 221: Loss = 38.2324, Accuracy = 85.14%
2025-07-29 23:30:36,866 - INFO - Epoch 222: Loss = 37.4848, Accuracy = 85.26%
2025-07-29 23:30:37,038 - INFO - Epoch 223: Loss = 37.6572, Accuracy = 85.31%
2025-07-29 23:30:37,211 - INFO - Epoch 224: Loss = 38.1585, Accuracy = 84.69%
2025-07-29 23:30:37,383 - INFO - Epoch 225: Loss = 39.2451, Accuracy = 84.44%
2025-07-29 23:30:37,556 - INFO - Epoch 226: Loss = 36.5092, Accuracy = 86.05%
2025-07-29 23:30:37,729 - INFO - Epoch 227: Loss = 36.4589, Accuracy = 86.18%
2025-07-29 23:30:37,902 - INFO - Epoch 228: Loss = 35.7563, Accuracy = 86.47%
2025-07-29 23:30:38,075 - INFO - Epoch 229: Loss = 36.3296, Accuracy = 86.22%
2025-07-29 23:30:38,247 - INFO - Epoch 230: Loss = 36.8987, Accuracy = 86.30%
2025-07-29 23:30:38,419 - INFO - Epoch 231: Loss = 36.3596, Accuracy = 86.63%
2025-07-29 23:30:38,592 - INFO - Epoch 232: Loss = 36.2128, Accuracy = 86.05%
