2025-07-30 13:04:07,127 - INFO - ------------------------------------Gradient Period 25-------------------------------------------
2025-07-30 13:04:07,127 - INFO - [Gradient Period 25 Run 1] Starting
2025-07-30 13:04:09,101 - INFO - Training on device: cuda
2025-07-30 13:04:11,997 - INFO - Epoch 200: Loss = 10.7737, Accuracy = 74.40%
2025-07-30 13:04:12,011 - INFO - Epoch 201: Loss = 10.7286, Accuracy = 74.40%
2025-07-30 13:04:12,025 - INFO - Epoch 202: Loss = 10.7042, Accuracy = 74.80%
2025-07-30 13:04:12,038 - INFO - Epoch 203: Loss = 10.6463, Accuracy = 75.20%
2025-07-30 13:04:12,052 - INFO - Epoch 204: Loss = 10.6033, Accuracy = 76.00%
2025-07-30 13:04:12,066 - INFO - Epoch 205: Loss = 10.5688, Accuracy = 75.20%
2025-07-30 13:04:12,079 - INFO - Epoch 206: Loss = 10.5018, Accuracy = 74.80%
2025-07-30 13:04:12,093 - INFO - Epoch 207: Loss = 10.4675, Accuracy = 74.80%
2025-07-30 13:04:12,106 - INFO - Epoch 208: Loss = 10.4106, Accuracy = 75.20%
2025-07-30 13:04:12,120 - INFO - Epoch 209: Loss = 10.3642, Accuracy = 75.60%
2025-07-30 13:04:12,134 - INFO - Epoch 210: Loss = 10.3767, Accuracy = 75.60%
2025-07-30 13:04:12,147 - INFO - Epoch 211: Loss = 10.2393, Accuracy = 75.60%
2025-07-30 13:04:12,161 - INFO - Epoch 212: Loss = 10.1982, Accuracy = 76.40%
2025-07-30 13:04:12,174 - INFO - Epoch 213: Loss = 10.1862, Accuracy = 75.60%
2025-07-30 13:04:12,188 - INFO - Epoch 214: Loss = 10.1350, Accuracy = 74.80%
2025-07-30 13:04:12,202 - INFO - Epoch 215: Loss = 10.0159, Accuracy = 74.80%
2025-07-30 13:04:12,215 - INFO - Epoch 216: Loss = 10.0237, Accuracy = 74.40%
2025-07-30 13:04:12,229 - INFO - Epoch 217: Loss = 9.9530, Accuracy = 75.60%
2025-07-30 13:04:12,242 - INFO - Epoch 218: Loss = 9.9623, Accuracy = 76.80%
2025-07-30 13:04:12,256 - INFO - Epoch 219: Loss = 9.8458, Accuracy = 78.40%
2025-07-30 13:04:12,270 - INFO - Epoch 220: Loss = 9.7902, Accuracy = 77.60%
2025-07-30 13:04:12,283 - INFO - Epoch 221: Loss = 9.7821, Accuracy = 77.60%
2025-07-30 13:04:12,297 - INFO - Epoch 222: Loss = 9.7027, Accuracy = 78.00%
2025-07-30 13:04:12,310 - INFO - Epoch 223: Loss = 9.6512, Accuracy = 78.00%
2025-07-30 13:04:12,324 - INFO - Epoch 224: Loss = 9.6280, Accuracy = 76.80%
2025-07-30 13:04:12,338 - INFO - Epoch 225: Loss = 9.5398, Accuracy = 78.00%
2025-07-30 13:04:12,351 - INFO - Epoch 226: Loss = 9.5389, Accuracy = 78.00%
2025-07-30 13:04:12,365 - INFO - Epoch 227: Loss = 9.4973, Accuracy = 78.40%
2025-07-30 13:04:12,379 - INFO - Epoch 228: Loss = 9.4460, Accuracy = 78.40%
2025-07-30 13:04:12,392 - INFO - Epoch 229: Loss = 9.4053, Accuracy = 77.20%
2025-07-30 13:04:12,406 - INFO - Epoch 230: Loss = 9.3510, Accuracy = 77.20%
2025-07-30 13:04:12,419 - INFO - Epoch 231: Loss = 9.3031, Accuracy = 78.00%
2025-07-30 13:04:12,433 - INFO - Epoch 232: Loss = 9.2643, Accuracy = 79.20%
2025-07-30 13:04:12,447 - INFO - Epoch 233: Loss = 9.1787, Accuracy = 80.40%
2025-07-30 13:04:12,460 - INFO - Epoch 234: Loss = 9.1319, Accuracy = 80.00%
2025-07-30 13:04:12,474 - INFO - Epoch 235: Loss = 9.1134, Accuracy = 80.80%
2025-07-30 13:04:12,493 - INFO - Epoch 236: Loss = 9.0383, Accuracy = 80.00%
2025-07-30 13:04:12,507 - INFO - Epoch 237: Loss = 9.0000, Accuracy = 80.00%
2025-07-30 13:04:12,521 - INFO - Epoch 238: Loss = 8.9538, Accuracy = 79.60%
2025-07-30 13:04:12,535 - INFO - Epoch 239: Loss = 8.9983, Accuracy = 79.60%
2025-07-30 13:04:12,548 - INFO - Epoch 240: Loss = 8.8667, Accuracy = 80.80%
2025-07-30 13:04:12,562 - INFO - Epoch 241: Loss = 8.8345, Accuracy = 80.40%
2025-07-30 13:04:12,576 - INFO - Epoch 242: Loss = 8.8832, Accuracy = 80.80%
2025-07-30 13:04:12,590 - INFO - Epoch 243: Loss = 8.8381, Accuracy = 80.80%
2025-07-30 13:04:12,604 - INFO - Epoch 244: Loss = 8.7547, Accuracy = 80.80%
2025-07-30 13:04:12,618 - INFO - Epoch 245: Loss = 8.6795, Accuracy = 81.60%
2025-07-30 13:04:12,632 - INFO - Epoch 246: Loss = 8.6352, Accuracy = 81.20%
2025-07-30 13:04:12,646 - INFO - Epoch 247: Loss = 8.5800, Accuracy = 82.00%
2025-07-30 13:04:12,660 - INFO - Epoch 248: Loss = 8.5213, Accuracy = 82.00%
2025-07-30 13:04:12,674 - INFO - Epoch 249: Loss = 8.5078, Accuracy = 81.20%
2025-07-30 13:04:12,687 - INFO - Epoch 250: Loss = 8.4467, Accuracy = 82.40%
2025-07-30 13:04:12,701 - INFO - Epoch 251: Loss = 8.4359, Accuracy = 82.00%
2025-07-30 13:04:12,715 - INFO - Epoch 252: Loss = 8.3771, Accuracy = 81.60%
2025-07-30 13:04:12,729 - INFO - Epoch 253: Loss = 8.2994, Accuracy = 82.00%
2025-07-30 13:04:12,743 - INFO - Epoch 254: Loss = 8.3245, Accuracy = 81.60%
2025-07-30 13:04:12,757 - INFO - Epoch 255: Loss = 8.2447, Accuracy = 82.00%
2025-07-30 13:04:12,770 - INFO - Epoch 256: Loss = 8.1719, Accuracy = 82.40%
2025-07-30 13:04:12,772 - INFO - [Gradient Period 25 Run 1] Training time: 5.64s
2025-07-30 13:04:13,230 - INFO - ✅ Regular Evaluation Accuracy: 32.00%
2025-07-30 13:04:13,258 - INFO - ✅ Regular Evaluation Top-5 Accuracy: 74.00%
2025-07-30 13:04:13,260 - INFO - Online testing for spice
2025-07-30 13:04:13,266 - INFO - ✅ Regular Evaluation Accuracy: 7.69%
2025-07-30 13:04:13,270 - INFO - ✅ Regular Evaluation Top-5 Accuracy: 61.54%
2025-07-30 13:04:13,665 - INFO - Online testing for nuts
2025-07-30 13:04:13,669 - INFO - ✅ Regular Evaluation Accuracy: 10.00%
2025-07-30 13:04:13,673 - INFO - ✅ Regular Evaluation Top-5 Accuracy: 20.00%
2025-07-30 13:04:13,673 - INFO - Nuts
2025-07-30 13:04:14,022 - INFO - ✅ Regular Evaluation Accuracy: 30.00%
2025-07-30 13:04:14,026 - INFO - ✅ Regular Evaluation Top-5 Accuracy: 60.00%
2025-07-30 13:04:14,026 - INFO - Spices
2025-07-30 13:04:14,374 - INFO - ✅ Regular Evaluation Accuracy: 30.00%
2025-07-30 13:04:14,377 - INFO - ✅ Regular Evaluation Top-5 Accuracy: 90.00%
2025-07-30 13:04:14,378 - INFO - Herbs
2025-07-30 13:04:14,727 - INFO - ✅ Regular Evaluation Accuracy: 30.00%
2025-07-30 13:04:14,731 - INFO - ✅ Regular Evaluation Top-5 Accuracy: 70.00%
2025-07-30 13:04:14,731 - INFO - Fruits
2025-07-30 13:04:15,077 - INFO - ✅ Regular Evaluation Accuracy: 40.00%
2025-07-30 13:04:15,081 - INFO - ✅ Regular Evaluation Top-5 Accuracy: 70.00%
2025-07-30 13:04:15,081 - INFO - Vegetables
2025-07-30 13:04:15,423 - INFO - ✅ Regular Evaluation Accuracy: 30.00%
2025-07-30 13:04:15,426 - INFO - ✅ Regular Evaluation Top-5 Accuracy: 80.00%
